bishops stortford	bishops stortford	1.0
cambridge	cambridge	1.0
ely	ely	1.0
peterborough	peterborough	1.0
norwich	norwich	1.0
london liverpool street	london liverpool street	1.0
leicester	leicester	1.0
kings lynn	kings lynn	1.0
broxbourne	broxbourne	1.0
birmingham new street	birmingham new street	1.0
london kings cross	london kings cross	1.0
stansted airport	stansted airport	1.0
stevenage	stevenage	1.0
lecester	lecester	1.0
bishop stortford	bishop stortford	1.0
north	north	1.0
willi	willi	1.0
curry prince	curry prince	1.0
bournemouth	bournemouth	1.0
centre	centre	1.0
bishops storford	bishops storford	1.0
city centre north	city centre north	1.0
taj tandoori	taj tandoori	1.0
petersborough	petersborough	1.0
huntington marriott	huntington marriott	1.0
liverpool	liverpool	1.0
huntingdon marriott hotel	huntingdon marriott hotel	1.0
gourmet burger kitchen	gourmet burger kitchen	1.0
the copper kettle	the copper kettle	1.0
